step,t,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,dyn_x,dyn_y,dyn_z,stat_x,stat_y,stat_z,d_min,rpz,rpf,target_x,target_y,target_z
84,8.400000,-0.634184,-1.195048,1.426630,0.167743,0.170553,0.072622,-0.660000,0.492000,2.500000,3.500000,-1.000000,2.000000,1.999730,1.000000,1.500000,3.000000,2.500000,3.000000
85,8.500000,-0.619999,-1.191678,1.430092,0.141854,0.033697,0.034615,-0.650000,0.480000,2.500000,3.500000,-1.000000,2.000000,1.984971,1.000000,1.500000,3.000000,2.500000,3.000000
86,8.600000,-0.603251,-1.174598,1.437355,0.167485,0.170801,0.072634,-0.640000,0.468000,2.500000,3.500000,-1.000000,2.000000,1.956705,1.000000,1.500000,3.000000,2.500000,3.000000
87,8.700000,-0.586502,-1.157518,1.444619,0.167485,0.170801,0.072634,-0.630000,0.456000,2.500000,3.500000,-1.000000,2.000000,1.928513,1.000000,1.500000,3.000000,2.500000,3.000000
88,8.800000,-0.569754,-1.140438,1.451882,0.167485,0.170801,0.072634,-0.620000,0.444000,2.500000,3.500000,-1.000000,2.000000,1.900400,1.000000,1.500000,3.000000,2.500000,3.000000
89,8.900000,-0.553005,-1.123358,1.459146,0.167485,0.170801,0.072634,-0.610000,0.432000,2.500000,3.500000,-1.000000,2.000000,1.872369,1.000000,1.500000,3.000000,2.500000,3.000000
90,9.000000,-0.536257,-1.106278,1.466409,0.167485,0.170801,0.072634,-0.600000,0.420000,2.500000,3.500000,-1.000000,2.000000,1.844423,1.000000,1.500000,3.000000,2.500000,3.000000
91,9.100000,-0.519508,-1.089198,1.473673,0.167485,0.170801,0.072634,-0.590000,0.408000,2.500000,3.500000,-1.000000,2.000000,1.816568,1.000000,1.500000,3.000000,2.500000,3.000000
92,9.200000,-0.502760,-1.072117,1.480936,0.167485,0.170801,0.072634,-0.580000,0.396000,2.500000,3.500000,-1.000000,2.000000,1.788806,1.000000,1.500000,3.000000,2.500000,3.000000
93,9.300000,-0.486011,-1.055037,1.488199,0.167485,0.170801,0.072634,-0.570000,0.384000,2.500000,3.500000,-1.000000,2.000000,1.761143,1.000000,1.500000,3.000000,2.500000,3.000000
94,9.400000,-0.469263,-1.037957,1.495463,0.167485,0.170801,0.072634,-0.560000,0.372000,2.500000,3.500000,-1.000000,2.000000,1.733582,1.000000,1.500000,3.000000,2.500000,3.000000
95,9.500000,-0.452514,-1.020877,1.502726,0.167485,0.170801,0.072634,-0.550000,0.360000,2.500000,3.500000,-1.000000,2.000000,1.706130,1.000000,1.500000,3.000000,2.500000,3.000000
96,9.600000,-0.435766,-1.003797,1.509990,0.167485,0.170801,0.072634,-0.540000,0.348000,2.500000,3.500000,-1.000000,2.000000,1.678791,1.000000,1.500000,3.000000,2.500000,3.000000
97,9.700000,-0.419017,-0.986717,1.517253,0.167485,0.170801,0.072634,-0.530000,0.336000,2.500000,3.500000,-1.000000,2.000000,1.651572,1.000000,1.500000,3.000000,2.500000,3.000000
98,9.800000,-0.402269,-0.969637,1.524517,0.167485,0.170801,0.072634,-0.520000,0.324000,2.500000,3.500000,-1.000000,2.000000,1.624477,1.000000,1.500000,3.000000,2.500000,3.000000
99,9.900000,-0.385520,-0.952557,1.531780,0.167485,0.170801,0.072634,-0.510000,0.312000,2.500000,3.500000,-1.000000,2.000000,1.597513,1.000000,1.500000,3.000000,2.500000,3.000000
100,10.000000,-0.368772,-0.935476,1.539043,0.167485,0.170801,0.072634,-0.500000,0.300000,2.500000,3.500000,-1.000000,2.000000,1.570688,1.000000,1.500000,3.000000,2.500000,3.000000
101,10.100000,-0.352023,-0.918396,1.546307,0.167485,0.170801,0.072634,-0.490000,0.288000,2.500000,3.500000,-1.000000,2.000000,1.544008,1.000000,1.500000,3.000000,2.500000,3.000000
102,10.200000,-0.335275,-0.901316,1.553570,0.167485,0.170801,0.072634,-0.480000,0.276000,2.500000,3.500000,-1.000000,2.000000,1.517481,1.000000,1.500000,3.000000,2.500000,3.000000
103,10.300000,-0.318526,-0.884236,1.560834,0.167485,0.170801,0.072634,-0.470000,0.264000,2.500000,3.500000,-1.000000,2.000000,1.491115,1.000000,1.500000,3.000000,2.500000,3.000000
104,10.400000,-0.301778,-0.867156,1.568097,0.167485,0.170801,0.072634,-0.460000,0.252000,2.500000,3.500000,-1.000000,2.000000,1.464919,1.000000,1.500000,3.000000,2.500000,3.000000
105,10.500000,-0.285029,-0.850076,1.575360,0.167485,0.170801,0.072634,-0.450000,0.240000,2.500000,3.500000,-1.000000,2.000000,1.438902,1.000000,1.500000,3.000000,2.500000,3.000000
106,10.600000,-0.268290,-0.832990,1.582632,0.167396,0.170855,0.072712,-0.440000,0.228000,2.500000,3.500000,-1.000000,2.000000,1.413064,1.000000,1.500000,3.000000,2.500000,3.000000
107,10.700000,-0.251591,-0.815880,1.589939,0.166991,0.171098,0.073071,-0.430000,0.216000,2.500000,3.500000,-1.000000,2.000000,1.387378,1.000000,1.500000,3.000000,2.500000,3.000000
108,10.800000,-0.234970,-0.798725,1.597317,0.166203,0.171559,0.073782,-0.420000,0.204000,2.500000,3.500000,-1.000000,2.000000,1.361811,1.000000,1.500000,3.000000,2.500000,3.000000
109,10.900000,-0.218472,-0.781499,1.604807,0.164985,0.172251,0.074897,-0.410000,0.192000,2.500000,3.500000,-1.000000,2.000000,1.336322,1.000000,1.500000,3.000000,2.500000,3.000000
110,11.000000,-0.202142,-0.764183,1.612452,0.163299,0.173170,0.076457,-0.400000,0.180000,2.500000,3.500000,-1.000000,2.000000,1.310866,1.000000,1.500000,3.000000,2.500000,3.000000
111,11.100000,-0.186030,-0.746753,1.620301,0.161120,0.174299,0.078488,-0.390000,0.168000,2.500000,3.500000,-1.000000,2.000000,1.285397,1.000000,1.500000,3.000000,2.500000,3.000000
112,11.200000,-0.170186,-0.729192,1.628401,0.158435,0.175605,0.081002,-0.380000,0.156000,2.500000,3.500000,-1.000000,2.000000,1.259869,1.000000,1.500000,3.000000,2.500000,3.000000
113,11.300000,-0.154662,-0.711488,1.636801,0.155246,0.177043,0.083991,-0.370000,0.144000,2.500000,3.500000,-1.000000,2.000000,1.234238,1.000000,1.500000,3.000000,2.500000,3.000000
114,11.400000,-0.139505,-0.693632,1.645544,0.151568,0.178556,0.087435,-0.360000,0.132000,2.500000,3.500000,-1.000000,2.000000,1.208463,1.000000,1.500000,3.000000,2.500000,3.000000
115,11.500000,-0.120389,-0.693680,1.652472,0.191160,-0.000476,0.069282,-0.350000,0.120000,2.500000,3.500000,-1.000000,2.000000,1.197121,1.000000,1.500000,3.000000,2.500000,3.000000
116,11.600000,-0.105908,-0.675545,1.661768,0.144808,0.181352,0.092963,-0.340000,0.108000,2.500000,3.500000,-1.000000,2.000000,1.171057,1.000000,1.500000,3.000000,2.500000,3.000000
117,11.700000,-0.082994,-0.678339,1.669309,0.229140,-0.027944,0.075403,-0.330000,0.096000,2.500000,3.500000,-1.000000,2.000000,1.162179,1.000000,1.500000,3.000000,2.500000,3.000000
118,11.800000,-0.069260,-0.659928,1.679178,0.137341,0.184113,0.098691,-0.320000,0.084000,2.500000,3.500000,-1.000000,2.000000,1.135803,1.000000,1.500000,3.000000,2.500000,3.000000
119,11.900000,-0.046631,-0.661900,1.686889,0.226293,-0.019718,0.077110,-0.310000,0.072000,2.500000,3.500000,-1.000000,2.000000,1.126553,1.000000,1.500000,3.000000,2.500000,3.000000
120,12.000000,-0.033719,-0.643239,1.697381,0.129114,0.186607,0.104916,-0.300000,0.060000,2.500000,3.500000,-1.000000,2.000000,1.099840,1.000000,1.500000,3.000000,2.500000,3.000000
121,12.100000,-0.011308,-0.638407,1.707351,0.224110,0.048315,0.099702,-0.290000,0.048000,2.500000,3.500000,-1.000000,2.000000,1.084950,1.000000,1.500000,3.000000,2.500000,3.000000
122,12.200000,0.000621,-0.619535,1.718598,0.119296,0.188728,0.112473,-0.280000,0.036000,2.500000,3.500000,-1.000000,2.000000,1.057858,1.000000,1.500000,3.000000,2.500000,3.000000
123,12.300000,0.014946,-0.609888,1.730115,0.143250,0.096463,0.115167,-0.270000,0.024000,2.500000,3.500000,-1.000000,2.000000,1.037175,1.000000,1.500000,3.000000,2.500000,3.000000
124,12.400000,0.025810,-0.590904,1.742221,0.108639,0.189844,0.121065,-0.260000,0.012000,2.500000,3.500000,-1.000000,2.000000,1.009658,1.000000,1.500000,3.000000,2.500000,3.000000
125,12.500000,0.027970,-0.595530,1.736288,0.021594,-0.046264,-0.059330,-0.250000,-0.000000,2.500000,3.500000,-1.000000,2.000000,1.007561,1.000000,1.500000,3.000000,2.500000,3.000000
126,12.600000,0.030048,-0.600056,1.730365,0.020783,-0.045257,-0.059231,-0.240000,-0.012000,2.500000,3.500000,-1.000000,2.000000,1.005522,1.000000,1.500000,3.000000,2.500000,3.000000
127,12.700000,0.032046,-0.604482,1.724451,0.019982,-0.044265,-0.059140,-0.230000,-0.024000,2.500000,3.500000,-1.000000,2.000000,1.003546,1.000000,1.500000,3.000000,2.500000,3.000000
128,12.800000,0.033965,-0.608811,1.718545,0.019193,-0.043290,-0.059058,-0.220000,-0.036000,2.500000,3.500000,-1.000000,2.000000,1.001640,1.000000,1.500000,3.000000,2.500000,3.000000
